"","id","name","gene.id","gene.symbol","gene.name","entrez.id","chromosome","start.position","end.position","p","fold.change"
"18",1031286,"A_32_P52153",124444,"LOC392145","exosome component 6 pseudogene",392145,"7","n/a","n/a",7.38e-27,7.064
"19",1048356,"A_24_P393571",9471,"GDA","guanine deaminase",9615,"9","n/a","n/a",3.45e-50,7.058
"20",1041466,"CUST_278_PI416408490",35167,"GABRQ","gamma-aminobutyric acid (GABA) A receptor, theta",55879,"X","n/a","n/a",1.04e-13,7.006
"21",1025747,"CUST_980_PI417557136",6710,"SST","somatostatin",6750,"3","n/a","n/a",1.03e-30,6.842
"22",1050605,"A_23_P322008",7158,"TRHR","thyrotropin-releasing hormone receptor",7201,"8","n/a","n/a",3.46e-20,6.759
"23",1055303,"CUST_1829_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",4.5e-26,6.683
"24",1048368,"CUST_142_PI416408490",9463,"CARTPT","CART prepropeptide",9607,"5","n/a","n/a",7.42e-25,6.616
"25",1017426,"A_23_P111583",943,"CD36","CD36 molecule (thrombospondin receptor)",948,"7","n/a","n/a",1.76e-26,6.524
"26",1033734,"CUST_8934_PI416261804",81765,"ZCCHC12","zinc finger, CCHC domain containing 12",170261,"X","n/a","n/a",1.46e-34,6.327
"27",1025748,"CUST_979_PI417557136",6710,"SST","somatostatin",6750,"3","n/a","n/a",3.88e-27,6.236
"28",1048367,"A_23_P167493",9463,"CARTPT","CART prepropeptide",9607,"5","n/a","n/a",7.36e-24,6.214
"29",1032389,"A_24_P197284",94467,"CXXC11","CXXC finger protein 11",285093,"2","n/a","n/a",5.12e-29,6.206
"30",1025749,"A_23_P252817",6710,"SST","somatostatin",6750,"3","n/a","n/a",8.16e-25,6.17
"31",1048366,"CUST_2058_PI417557136",9463,"CARTPT","CART prepropeptide",9607,"5","n/a","n/a",3.1e-25,6.153
"32",1048365,"CUST_2059_PI417557136",9463,"CARTPT","CART prepropeptide",9607,"5","n/a","n/a",5.08e-26,5.954
"33",1066971,"A_32_P115840",1008993,"A_32_P115840","AGILENT probe A_32_P115840 (non-RefSeq)",0,"n/a","n/a","n/a",9.45e-13,5.872
"34",1048364,"CUST_2060_PI417557136",9463,"CARTPT","CART prepropeptide",9607,"5","n/a","n/a",5e-25,5.784
"35",1053230,"CUST_635_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",4.66e-13,5.734
"36",1053217,"A_24_P279870",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",9.85e-14,5.696
"37",1032396,"A_24_P561341",94450,"FAM150B","family with sequence similarity 150, member B",285016,"2","n/a","n/a",2.91e-22,5.532
"38",1049011,"A_23_P149121",8954,"DIRAS3","DIRAS family, GTP-binding RAS-like 3",9077,"1","n/a","n/a",4.02e-17,5.499
"39",1053219,"CUST_645_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",6.54e-14,5.411
"40",1053930,"A_23_P37164",4598,"MYH6","myosin, heavy chain 6, cardiac muscle, alpha",4624,"14","n/a","n/a",6.3e-20,5.395
"41",1034086,"A_23_P72968",81414,"ARHGAP36","Rho GTPase activating protein 36",158763,"X","n/a","n/a",2.4e-10,5.389
"42",1029568,"A_23_P205738",41443,"BCL11B","B-cell CLL/lymphoma 11B (zinc finger protein)",64919,"14","n/a","n/a",3.27e-29,5.334
"43",1023409,"A_23_P217428",392,"ARHGAP6","Rho GTPase activating protein 6",395,"X","n/a","n/a",1.41e-21,5.327
"44",1053229,"A_23_P40262",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",7.74e-14,5.316
"45",1053224,"CUST_640_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",7.24e-18,5.313
"46",1055302,"CUST_1830_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.82e-20,5.26
"47",1048369,"CUST_2057_PI417557136",9463,"CARTPT","CART prepropeptide",9607,"5","n/a","n/a",4.18e-22,5.239
"48",1010261,"CUST_4435_PI416261804",1000008,"LOC100129291","uncharacterized protein CXorf49-like",100129291,"X","n/a","n/a",1.96e-16,5.211
"49",1038042,"A_23_P386973",57983,"TFAP2D","transcription factor AP-2 delta (activating enhancer binding protein 2 delta)",83741,"6","n/a","n/a",4.08e-12,5.048
"50",1049143,"A_23_P163492",8859,"BAIAP3","BAI1-associated protein 3",8938,"16","n/a","n/a",2.68e-36,5.012
"51",1055272,"CUST_1858_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.39e-24,5.009
"52",1033787,"A_32_P85106",81713,"C6orf118","chromosome 6 open reading frame 118",168090,"6","n/a","n/a",1.98e-25,5.004
"53",1031172,"CUST_645_PI416379584",125657,"TMEM215","transmembrane protein 215",401498,"9","n/a","n/a",4.2e-16,5.001
"54",1038043,"CUST_2289_PI416261804",57983,"TFAP2D","transcription factor AP-2 delta (activating enhancer binding protein 2 delta)",83741,"6","n/a","n/a",1.14e-12,4.982
"55",1053214,"CUST_649_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",1.44e-13,4.935
"56",1059144,"A_24_P109214",338,"APOC1","apolipoprotein C-I",341,"19","n/a","n/a",1.95e-31,4.927
"57",1059146,"CUST_82_PI416408490",338,"APOC1","apolipoprotein C-I",341,"19","n/a","n/a",4.03e-32,4.884
"58",1059145,"A_23_P4649",338,"APOC1","apolipoprotein C-I",341,"19","n/a","n/a",1.65e-29,4.868
"59",1040058,"A_23_P35725",40618,"ANO3","anoctamin 3",63982,"11","n/a","n/a",7.39e-25,4.854
"60",1020485,"A_24_P170275",158822,"UG0898H09","uncharacterized LOC643763",643763,"8","n/a","n/a",8.93e-56,4.853
"61",1037183,"A_32_P217773",59148,"SYTL1","synaptotagmin-like 1",84958,"1","n/a","n/a",8.48e-25,4.843
"62",1065871,"A_24_P247823",1008239,"A_23_P140654","AGILENT probe A_23_P140654 (non-RefSeq)",0,"n/a","n/a","n/a",1.18e-31,4.825
"63",1058533,"A_23_P425681",880,"CCK","cholecystokinin",885,"3","n/a","n/a",5.95e-26,4.813
"64",1055286,"CUST_1846_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",4.2e-24,4.813
"65",1010330,"CUST_1423_PI416379584",123486,"FEZF1","FEZ family zinc finger 1",389549,"7","n/a","n/a",1.32e-19,4.806
"66",1020068,"CUST_480_PI416408490",6984,"NR2F2","nuclear receptor subfamily 2, group F, member 2",7026,"15","n/a","n/a",3.11e-25,4.765
"67",1027422,"A_23_P501781",3733,"KCNJ1","potassium inwardly-rectifying channel, subfamily J, member 1",3758,"11","n/a","n/a",1.18e-17,4.747
"68",1055271,"CUST_1859_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",2.43e-23,4.722
"69",1058534,"CUST_147_PI416408490",880,"CCK","cholecystokinin",885,"3","n/a","n/a",3.5e-27,4.687
"70",1042323,"CUST_1598_PI416261804",34368,"FEZF2","FEZ family zinc finger 2",55079,"3","n/a","n/a",2.11e-14,4.642
"71",1055285,"CUST_1847_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",4.63e-20,4.63
"72",1055273,"CUST_1857_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.12e-22,4.572
"73",1054831,"A_23_P210581",3730,"KCNG1","potassium voltage-gated channel, subfamily G, member 1",3755,"20","n/a","n/a",2.34e-32,4.566
"74",1055277,"CUST_1854_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.24e-21,4.521
"75",1051595,"CUST_15265_PI416261804",6460,"SIX3","SIX homeobox 3",6496,"2","n/a","n/a",7.56e-18,4.485
"76",1055308,"CUST_1824_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",2.67e-18,4.477
"77",1031442,"A_32_P3476",122953,"RPRML","reprimo-like",388394,"17","n/a","n/a",4.01e-32,4.46
"78",1055279,"CUST_1852_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",9.37e-20,4.457
"79",1054461,"CUST_14251_PI416261804",4047,"EPCAM","epithelial cell adhesion molecule",4072,"2","n/a","n/a",2.5e-37,4.429
"80",1011751,"CUST_17097_PI416261804",943,"CD36","CD36 molecule (thrombospondin receptor)",948,"7","n/a","n/a",2.02e-17,4.396
"81",1013661,"A_23_P88589",6984,"NR2F2","nuclear receptor subfamily 2, group F, member 2",7026,"15","n/a","n/a",7.33e-28,4.345
"82",1048373,"CUST_520_PI417557136",9463,"CARTPT","CART prepropeptide",9607,"5","n/a","n/a",5.73e-21,4.331
"83",1053687,"A_24_P382533",4795,"NNAT","neuronatin",4826,"20","n/a","n/a",1.14e-24,4.316
"84",1050761,"A_23_P119143",7044,"ICAM5","intercellular adhesion molecule 5, telencephalin",7087,"19","n/a","n/a",3.47e-40,4.313
"85",1020848,"A_23_P257387",7953,"GLRA3","glycine receptor, alpha 3",8001,"4","n/a","n/a",1.44e-22,4.308
"86",1053227,"CUST_637_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",3.79e-12,4.298
"87",1050737,"CUST_10020_PI416261804",7058,"NR2E1","nuclear receptor subfamily 2, group E, member 1",7101,"6","n/a","n/a",4.54e-26,4.287
"88",1011387,"A_32_P12552",158822,"UG0898H09","uncharacterized LOC643763",643763,"8","n/a","n/a",2.39e-50,4.275
"89",1030365,"A_23_P5370",35755,"RPRM","reprimo, TP53 dependent G2 arrest mediator candidate",56475,"2","n/a","n/a",3.19e-21,4.262
"90",1055266,"CUST_1864_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",7.19e-19,4.257
"91",1024592,"CUST_723_PI417557136",3339,"HTR3A","5-hydroxytryptamine (serotonin) receptor 3A, ionotropic",3359,"11","n/a","n/a",8.26e-14,4.241
"92",1037184,"A_23_P46390",59148,"SYTL1","synaptotagmin-like 1",84958,"1","n/a","n/a",5.81e-21,4.224
"93",1066865,"A_24_P694820",1008917,"A_24_P935437","AGILENT probe A_24_P935437 (non-RefSeq)",0,"n/a","n/a","n/a",1.28e-13,4.199
"94",1053221,"CUST_643_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",6.37e-10,4.191
"95",1055274,"A_23_P433586",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.2e-20,4.186
"96",1033793,"A_23_P42397",81702,"PRSS35","protease, serine, 35",167681,"6","n/a","n/a",7.89e-28,4.151
"97",1013141,"CUST_15190_PI416261804",7180,"TRPC4","transient receptor potential cation channel, subfamily C, member 4",7223,"13","n/a","n/a",8.58e-23,4.148
"98",1029569,"CUST_8885_PI416261804",41443,"BCL11B","B-cell CLL/lymphoma 11B (zinc finger protein)",64919,"14","n/a","n/a",6.13e-26,4.13
"99",1014826,"A_24_P313354",6984,"NR2F2","nuclear receptor subfamily 2, group F, member 2",7026,"15","n/a","n/a",8.07e-29,4.125
"100",1032237,"CUST_511_PI416261804",94817,"NKAIN3","Na+/K+ transporting ATPase interacting 3",286183,"8","n/a","n/a",6.12e-35,4.122
"101",1061275,"A_23_P28999",997,"CDH4","cadherin 4, type 1, R-cadherin (retinal)",1002,"20","n/a","n/a",4.45e-29,4.116
"102",1025784,"A_24_P257478",58771,"COL25A1","collagen, type XXV, alpha 1",84570,"4","n/a","n/a",5.17e-19,4.115
"103",1019157,"CUST_15178_PI416261804",7180,"TRPC4","transient receptor potential cation channel, subfamily C, member 4",7223,"13","n/a","n/a",1.97e-24,4.11
"104",1042322,"A_24_P405631",34368,"FEZF2","FEZ family zinc finger 2",55079,"3","n/a","n/a",2.12e-12,4.105
"105",1032397,"CUST_571_PI416261804",94450,"FAM150B","family with sequence similarity 150, member B",285016,"2","n/a","n/a",3.93e-19,4.101
"106",1024056,"CUST_14965_PI416261804",57627,"PCDH11Y","protocadherin 11 Y-linked",83259,"Y","n/a","n/a",5.89e-12,4.1
"107",1051820,"A_23_P5853",6261,"SAG","S-antigen; retina and pineal gland (arrestin)",6295,"2","n/a","n/a",1.4e-17,4.092
"108",1055288,"CUST_1844_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.93e-19,4.05
"109",1036792,"A_23_P31945",59982,"IL33","interleukin 33",90865,"9","n/a","n/a",1.12e-32,4.042
"110",1055267,"CUST_1863_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.19e-17,4.003
"111",1038361,"CUST_16768_PI416261804",57211,"DCSTAMP","dendrocyte expressed seven transmembrane protein",81501,"8","n/a","n/a",1.08e-11,3.981
"112",1055280,"CUST_1851_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",3.21e-17,3.958
"113",1068130,"A_24_P247205",94817,"NKAIN3","Na+/K+ transporting ATPase interacting 3",286183,"8","n/a","n/a",1.61e-35,3.95
"114",1020849,"A_23_P340868",7953,"GLRA3","glycine receptor, alpha 3",8001,"4","n/a","n/a",6.31e-19,3.942
"115",1065174,"A_23_P208609",26274,"TSPAN16","tetraspanin 16",26526,"19","n/a","n/a",8.95e-33,3.919
"116",1012820,"CUST_15186_PI416261804",7180,"TRPC4","transient receptor potential cation channel, subfamily C, member 4",7223,"13","n/a","n/a",6.21e-22,3.886
"117",1028125,"CUST_470_PI416261804",81419,"AKAP14","A kinase (PRKA) anchor protein 14",158798,"X","n/a","n/a",1.42e-16,3.88
"118",1055287,"CUST_1845_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.66e-18,3.865
"119",1012911,"CUST_1_PI417557136",2539,"GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2",2555,"4","n/a","n/a",1.51e-31,3.851
"120",1046484,"A_32_P216520",11037,"WIF1","WNT inhibitory factor 1",11197,"12","n/a","n/a",2.43e-18,3.845
"121",1027787,"CUST_12519_PI416261804",5701,"PTGER3","prostaglandin E receptor 3 (subtype EP3)",5733,"1","n/a","n/a",1.66e-18,3.828
"122",1050736,"A_23_P338372",7058,"NR2E1","nuclear receptor subfamily 2, group E, member 1",7101,"6","n/a","n/a",1.57e-36,3.828
"123",1064425,"A_32_P47474",1007287,"A_32_P47474","AGILENT probe A_32_P47474 (non-RefSeq)",0,"n/a","n/a","n/a",2.57e-18,3.81
"124",1055281,"CUST_343_PI416408490",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",2.95e-15,3.795
"125",1012673,"A_23_P21063",6296,"SCN5A","sodium channel, voltage-gated, type V, alpha subunit",6331,"3","n/a","n/a",4.05e-13,3.794
"126",1071210,"A_32_P9207",1012198,"A_32_P9207","AGILENT probe A_32_P9207 (non-RefSeq)",0,"n/a","n/a","n/a",2.12e-26,3.781
"127",1055292,"CUST_1840_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",2.57e-18,3.778
"128",1027194,"A_32_P59010",122836,"TNFAIP8L3","tumor necrosis factor, alpha-induced protein 8-like 3",388121,"15","n/a","n/a",2.43e-25,3.769
"129",1044491,"A_23_P402194",27064,"BHLHE22","basic helix-loop-helix family, member e22",27319,"8","n/a","n/a",1.18e-13,3.762
"130",1062674,"A_32_P227216",1006119,"A_24_P840042","AGILENT probe A_24_P840042 (non-RefSeq)",0,"n/a","n/a","n/a",3.13e-29,3.759
"131",1053218,"CUST_646_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",3.81e-13,3.738
"132",1041045,"CUST_1720_PI416261804",36235,"LHX9","LIM homeobox 9",56956,"1","n/a","n/a",1.16e-10,3.737
"133",1055290,"CUST_1842_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",2.41e-18,3.724
"134",1031719,"A_24_P168994",110641,"TBC1D26","TBC1 domain family, member 26",353149,"17","n/a","n/a",7.52e-20,3.698
"135",1014466,"CUST_36_PI417557136",2539,"GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2",2555,"4","n/a","n/a",5.32e-31,3.684
"136",1052688,"A_23_P16189",5550,"PRKCG","protein kinase C, gamma",5582,"19","n/a","n/a",7.3e-25,3.678
"137",1027785,"CUST_12457_PI416261804",5701,"PTGER3","prostaglandin E receptor 3 (subtype EP3)",5733,"1","n/a","n/a",5.09e-12,3.677
"138",1059867,"A_24_P854758",1004217,"A_24_P854758","AGILENT probe A_24_P854758 (non-RefSeq)",0,"n/a","n/a","n/a",6.77e-30,3.661
"139",1056966,"A_23_P117411",2274,"FOXG1","forkhead box G1",2290,"14","n/a","n/a",6.72e-49,3.647
"140",1016319,"A_24_P847326",133747,"FAM183A","family with sequence similarity 183, member A",440585,"1","n/a","n/a",2.79e-14,3.64
"141",1050831,"A_23_P32454",6996,"TG","thyroglobulin",7038,"8","n/a","n/a",2.74e-11,3.62
"142",1048507,"A_24_P254506",9365,"PAGE4","P antigen family, member 4 (prostate associated)",9506,"X","n/a","n/a",1.28e-15,3.616
"143",1038220,"A_23_P33093",57529,"ST6GALNAC5","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",81849,"1","n/a","n/a",1.68e-18,3.609
"144",1055307,"CUST_1825_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",5.22e-13,3.597
"145",1017617,"A_23_P134914",4037,"LY6H","lymphocyte antigen 6 complex, locus H",4062,"8","n/a","n/a",3.99e-32,3.594
"146",1053228,"CUST_636_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",1.09e-15,3.592
"147",1044485,"CUST_14955_PI416261804",27073,"PCDH11X","protocadherin 11 X-linked",27328,"X","n/a","n/a",4.67e-11,3.583
"148",1036414,"CUST_1186_PI416261804",60767,"SYTL5","synaptotagmin-like 5",94122,"X","n/a","n/a",2.62e-19,3.577
"149",1053532,"CUST_604_PI417557136",4891,"NTS","neurotensin",4922,"12","n/a","n/a",1.86e-05,3.568
"150",1026516,"A_32_P800799",82145,"KCNG3","potassium voltage-gated channel, subfamily G, member 3",170850,"2","n/a","n/a",3.1e-21,3.565
"151",1068712,"A_24_P925505",1010142,"A_24_P925505","AGILENT probe A_24_P925505 (non-RefSeq)",0,"n/a","n/a","n/a",1e-15,3.548
"152",1055313,"CUST_2063_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",9.24e-18,3.53
"153",1055275,"CUST_1856_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",1.09e-15,3.529
"154",1021126,"CUST_299_PI416408490",58270,"GPR98","G protein-coupled receptor 98",84059,"5","n/a","n/a",3.59e-28,3.525
"155",1055299,"CUST_1833_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",3.31e-16,3.525
"156",1028124,"CUST_134_PI416379584",81419,"AKAP14","A kinase (PRKA) anchor protein 14",158798,"X","n/a","n/a",1.31e-26,3.521
"157",1011992,"CUST_14116_PI416261804",41413,"AGXT2L1","alanine-glyoxylate aminotransferase 2-like 1",64850,"4","n/a","n/a",1.09e-33,3.51
"158",1054593,"A_23_P120902",3932,"LGALS2","lectin, galactoside-binding, soluble, 2",3957,"22","n/a","n/a",6.59e-14,3.504
"159",1052374,"A_32_P18668",5833,"RAB3B","RAB3B, member RAS oncogene family",5865,"1","n/a","n/a",1.03e-22,3.492
"160",1014400,"CUST_37_PI417557136",2539,"GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2",2555,"4","n/a","n/a",1.72e-19,3.488
"161",1057339,"A_23_P216225",1947,"EGR3","early growth response 3",1960,"8","n/a","n/a",4.14e-24,3.456
"162",1058390,"A_23_P92999",1002,"CDH9","cadherin 9, type 2 (T1-cadherin)",1007,"5","n/a","n/a",2.27e-24,3.455
"163",1055278,"CUST_1853_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",3.03e-15,3.427
"164",1015973,"A_23_P257231",41413,"AGXT2L1","alanine-glyoxylate aminotransferase 2-like 1",64850,"4","n/a","n/a",6.83e-27,3.414
"165",1028486,"CUST_1113_PI417557136",1259,"CNR1","cannabinoid receptor 1 (brain)",1268,"6","n/a","n/a",2.9e-15,3.411
"166",1015943,"A_32_P171143",123466,"LOC389458","uncharacterized LOC389458",389458,"7","n/a","n/a",1.39e-23,3.404
"167",1069981,"A_32_P50846",1011128,"A_32_P35106","AGILENT probe A_32_P35106 (non-RefSeq)",0,"n/a","n/a","n/a",5.85e-28,3.4
"168",1013059,"A_23_P167121",2539,"GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2",2555,"4","n/a","n/a",2.8e-35,3.396
"169",1062475,"A_32_P103558",1005976,"A_32_P103558","AGILENT probe A_32_P103558 (non-RefSeq)",0,"n/a","n/a","n/a",3.86e-30,3.394
"170",1046511,"A_23_P20443",11018,"LZTS1","leucine zipper, putative tumor suppressor 1",11178,"8","n/a","n/a",4.37e-23,3.392
"171",1055269,"CUST_1861_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",2.1e-13,3.39
"172",1055291,"CUST_1841_PI417557136",3338,"HTR2C","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",3358,"X","n/a","n/a",4.85e-14,3.381
"173",1049532,"CUST_9140_PI416261804",8535,"RGS20","regulator of G-protein signaling 20",8601,"8","n/a","n/a",2.72e-30,3.365
"174",1052375,"A_23_P388168",5833,"RAB3B","RAB3B, member RAS oncogene family",5865,"1","n/a","n/a",1.51e-23,3.362
"175",1045487,"A_23_P315212",23374,"NTSR2","neurotensin receptor 2",23620,"2","n/a","n/a",2.36e-31,3.35
"176",1063402,"A_32_P180524",94749,"DLX6-AS1","DLX6 antisense RNA 1 (non-protein coding)",285987,"7","n/a","n/a",9.07e-37,3.344
"177",1031766,"CUST_852_PI416379584",110422,"WDR86","WD repeat domain 86",349136,"7","n/a","n/a",7.65e-13,3.338
"178",1013990,"CUST_1006_PI417557136",2539,"GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2",2555,"4","n/a","n/a",7.15e-25,3.334
"179",1031171,"CUST_435_PI416408490",125657,"TMEM215","transmembrane protein 215",401498,"9","n/a","n/a",3.76e-12,3.331
"180",1028126,"CUST_130_PI416573500",81419,"AKAP14","A kinase (PRKA) anchor protein 14",158798,"X","n/a","n/a",2.52e-13,3.329
"181",1028485,"CUST_1235_PI417557136",1259,"CNR1","cannabinoid receptor 1 (brain)",1268,"6","n/a","n/a",2.06e-15,3.321
"182",1042989,"CUST_298_PI416408490",33405,"GPR88","G protein-coupled receptor 88",54112,"1","n/a","n/a",3.06e-12,3.312
"183",1053223,"CUST_641_PI417557136",5141,"PDYN","prodynorphin",5173,"20","n/a","n/a",8.67e-10,3.311
"184",1049531,"CUST_9143_PI416261804",8535,"RGS20","regulator of G-protein signaling 20",8601,"8","n/a","n/a",1.13e-32,3.299
"185",1036234,"A_32_P40288",77525,"TMEM200A","transmembrane protein 200A",114801,"6","n/a","n/a",1.46e-17,3.298
"186",1056628,"CUST_19_PI417557136",2542,"GABRA5","gamma-aminobutyric acid (GABA) A receptor, alpha 5",2558,"15","n/a","n/a",9.64e-25,3.298
"187",1036761,"A_32_P425998",60011,"IGFN1","immunoglobulin-like and fibronectin type III domain containing 1",91156,"1","n/a","n/a",7.41e-20,3.288
"188",1053530,"CUST_2071_PI417557136",4891,"NTS","neurotensin",4922,"12","n/a","n/a",4.25e-06,3.288
"189",1044486,"CUST_15103_PI416261804",27073,"PCDH11X","protocadherin 11 X-linked",27328,"X","n/a","n/a",8.4e-11,3.285
"190",1048064,"CUST_8058_PI416261804",9746,"LPPR4","lipid phosphate phosphatase-related protein type 4",9890,"1","n/a","n/a",8.6e-23,3.28
"191",1045452,"A_32_P42684",23410,"SLC7A11","solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11",23657,"4","n/a","n/a",5.13e-24,3.279
"192",1021124,"A_23_P19134",58270,"GPR98","G protein-coupled receptor 98",84059,"5","n/a","n/a",1.18e-27,3.268
"193",1047138,"A_23_P124927",10489,"RGS14","regulator of G-protein signaling 14",10636,"5","n/a","n/a",5.08e-25,3.265
"194",1013108,"CUST_1169_PI417557136",2539,"GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2",2555,"4","n/a","n/a",1.46e-30,3.265
